topic;media;id_session;DOCID;Order;ABSTRACT;TITLE;AUTHORS;LABOS;FILE
Contraintes d'usage;oral;SO-J2am-A;30201;5;Cet article présente un banc de vieillissement sous irradiation de transistors MOSFETs de puissance qui sera utilisé au GANIL (Grand Accélérateur National d'Ions Lourds). L'originalité de ce banc est d'assurer un fonctionnement par découpage haute fréquence des MOSFETs pendant la phase d'irradiation avec la possibilité de choisir de nombreux paramètres de fonctionnement. Un dispositif de mesure automatique de courant de fuite de grille pendant l'irradiation est incorporé au système. Ce banc est conçu pour faire travailler simultanément 6 transistors MOSFETs devant la fenêtre d'irradiation. Pour chaque transistor en test la structure de puissance est constituée par deux hacheurs en opposition (dont un est constitué avec le MOSFET sous irradiation) avec une régulation de courant et une régulation de température de jonction. Une première série de test sous irradiation a été réalisé GANIL en mai 2014 a permis d'obtenir des résultats brièvement présentés dans l'article.;Banc de test de transistors MOSFET de puissance sous irradiation par ions lourds;Huselstein Jean Jacques  (1), Forest Francois  (1), Petit Mickaël  (1), Privat Aymeric  (1), Touboul Antoine  (1);1 - Institut d'Electronique du Sud IES (France);http://sge2014.sciencesconf.org/30201/document
Contraintes d'usage;oral;SO-J2am-A;30210;6; Ce papier présente l'analyse des perturbations à haute fréquence provoquées par la commutation des interrupteurs de puissance dans un convertisseur Buck. L'impact de différents paramètres de la cellule de commutation est traité analytiquement pour permettre la prédiction des performances CEM du convertisseur, en amont de son design complet. L'analyse est ici poursuivie par l'étude de l'amélioration des performances CEM qui peut être apportée par le choix d'une structure parallèle à commandes entrelacées. Les convertisseurs comparés le sont à surface de silicium (encombrement des composants de puissance) et rendement égaux.;Impact CEM haute fréquence des commutations dans un convertisseur Buck. Etude analytique et application aux structures parallèles à commandes entrelacées.;Aulagnier Guillaume  (1), Cousineau Marc  (1), Abouda Kamel  (2), Rolland Eric  (2), Meynard Thierry  (1);1 - Laboratoire LAPLACE (France), 2 - Freescale Semiconductors (France);http://sge2014.sciencesconf.org/30210/document
Contrôle/Diagnostic;oral;SO-J3-B;29934;1;Cet article présente la mise en place d'une commande par hystérésis simple et originale permettant de contrôler un convertisseur en maitrisant indirectement sa fréquence moyenne de commutation. Cette commande est basée sur la connaissance de l'état du convertisseur et la mise en place de règles de choix de commutations simples à mettre en ?uvre. Ceci est appliqué à un onduleur triphasé relié au réseau à facteur de puissance unitaire. Les « pertes silicium » obtenues sont similaires à celles produites par les modulations naturelles à fréquence fixe pour une même qualité de courants sur le réseau, avec des familles d'harmoniques moins concentrées. A l'heure où les convertisseurs voient leur fréquence augmenter, cela peut être une voie d'exploration de commandes plus rapides et plus facilement intégrables par utilisation de composants logiques programmables, dont les capacités ne cessent de croitre.;Modulation par hystérésis de courant à mémoire d'état d'un onduleur triphasé deux niveaux - comportement électrique;Le Moigne Philippe  (1), Delarue Philippe  (1), Fernandez Sophie (1);1 - Laboratoire L2EP (France);http://sge2014.sciencesconf.org/29934/document
Contrôle/Diagnostic;oral;SO-J3-B;30035;2;This paper investigates the efficiency difference of a double stator permanent magnet generator controlled by three vector current control strategies (maximum torque per ampere control, unity power factor control and constant flux control) in a direct drive tidal energy system. The work will focus on the tidal speed below its rated value. The rotational speed of turbine is proportional with tidal speed to maximize the power coefficient. For the same rotational speed, the generator power loss (including converter loss) is different when it is controlled by different control strategy. Through calculating the generator efficiency under the three control condition, an optimal control strategy can be chosen for special turbine rotational speed or tidal current speed.;Optimal control strategies of a double stator permanent magnet generator applied in tidal current energy extracting;Zhang Jian  (1), Moreau Luc  (1), Machmoum Mohamed  (1);1 - Laboratoire IREENA (France);http://sge2014.sciencesconf.org/30035/document
Contrôle/Diagnostic;oral;SO-J3-B;30072;3;Ce travail traite de l'étude de la stabilité et de la stabilisation d'un système de traction électrique composé d'une machine synchrone à aimants permanents alimentée par un onduleur à Quasi Z-source. L'onduleur à Quasi Z-source, et plus généralement les onduleurs à source impédante, sont des convertisseurs de type DC/AC élévateurs. Ils permettent d'élever la tension du bus continu de manière à ce qu'elle soit adaptée à la demande en puissance de la machine. Cela garantit la contrôlabilité du moteur sur une large plage de vitesses mais aussi la réduction des pertes dans l'onduleur. Lorsque la tension de source est suffisante pour contrôler la machine, il n'est plus nécessaire d'élever la tension du bus continu. L'onduleur à Quasi Z-source est alors assimilé à un onduleur de tension classique alimenté par un filtre passif de type LC. Certains problèmes de stabilité peuvent alors apparaître et il est nécessaire de mettre en place des systèmes de stabilisation afin de garantir un fonctionnement optimal du convertisseur.;Stabilité et Stabilisation d'une Machine Synchrone Alimentée par un Onduleur à Quasi Z-source;Battiston Alexandre  (1), Miliani El-Hadj  (2), Pierfederici Serge  (1), Meibody-Tabar Farid  (1);1 - Laboratoire GREEN (France), 2 - IFP Energies Nouvelles (France);http://sge2014.sciencesconf.org/30072/document
Contrôle/Diagnostic;oral;SO-J3-B;30132;4;Ce papier traite de la détection et du diagnostic de défauts mécaniques et plus particulièrement ceux que l'on retrouve dans les roulements à billes pouvant équiper une machine électrique. Généralement les défauts dans les roulements sont diagnostiqués grâce à la recherche des fréquences caractéristiques associées aux éléments constitutifs du roulement. Ces fréquences sont supposées connues a priori ou estimées. Ce papier propose de faire la discrimination entre les défauts de roulements en fonction de la localisation et la sévérité du défaut, tout en s'affranchissant de la connaissance a priori des fréquences caractéristiques. La méthode repose sur l'extraction des paramètres fréquentiels représentatifs de la signature fréquentielle globale des défauts afin de faire la classification. Pour notre approche, l'analyse des résultats expérimentaux montre que l'Analyse en Composantes Principales appliquée sur ces paramètres permet de discriminer avec précision les différents types de défauts. L'Analyse Discriminante Linéaire est ensuite proposée afin d'améliorer la qualité de la discrimination entre des défauts de billes de sévérité différente.;Discrimination des défauts de roulements par une analyse spectrale globale;Harmouche Jinane  (1), Diallo Demba  (1), Delpha Claude  (2);1 - Laboratoire LGEP (France), 2 - Laboratoire des Signaux et Systèmes L2S (France);http://sge2014.sciencesconf.org/30132/document
Contrôle/Diagnostic;oral;SO-J3-B;30141;5;La réduction de la consommation énergétique dans tous les domaines (automobile, industrie, habitation...) est une nécessité sociétale et économique. Les pertes énergétiques, issues des différents phénomènes se manifestent dans la quasi-totalité des cas par un dégagement de chaleur. La valorisation de cette chaleur, si elle est en quantité suffisante, peut être une solution pour réduire la consommation d'énergie globale d'un système. Le générateur thermoélectrique est un convertisseur utilisant l'effet Seebeck pour convertir l'énergie thermique en énergie électrique. L'objectif de cet article est de modéliser et de simuler ces convertisseurs. Les modèles seront organisés en fonction du formalisme REM (Représentation Energétique Macroscopique) afin de déduire, ultérieurement, une structure de commande de ces convertisseurs et de les coupler aux systèmes déjà organisés avec cet outil de représentation. Une validation utilisant les données issues de fabricants sera également présentée.;Représentation - Simulation de Générateurs Thermoélectrique au travers de la Représentation Energétique Macroscopique;Horrein Ludovic  (1) (2) (3), Bouscayrol Alain  (1) (2), Cheng Yuan  (1) (3), Dumand Clément  (3);1 - MEGEVH (France), 2 - Laboratoire L2EP (France), 3 - PSA Peugeot-Citroën (France);http://sge2014.sciencesconf.org/30141/document
Contrôle/Diagnostic;oral;SO-J3-B;43366;6;"Beaucoup de systèmes énergétiques nécessitent une loi de gestion pour leur bon fonctionnement.
Le réglage de cette loi nécessite souvent beaucoup de ressources et la loi résultante dépend généralement du dimensionnement.

Comme une étude de dimensionnement nécessite d'évaluer la performance du système pour beaucoup de dimensionnements différents,
le concepteur est souvent amené à utiliser des lois de gestion simplifiées lors de la phase de dimensionnement.
Quelle est la sensibilité du résultat obtenu vis-à-vis de ce choix ?

Pour étudier cette question, fondamentale et très présente dans les systèmes énergétiques, du couplage entre dimensionnement
et gestion}, nous nous appuyons sur l'exemple d'une étude de dimensionnement de stockage d'énergie dans un contexte éolien
(atténuation d'erreurs de prévision à caractère incertain).
Nous testons différents choix de loi de gestion et comparons le dimensionnement et la performance obtenus.
Nous observons que, selon la procédure de dimensionnement choisie, la performance finale du système varie tantôt faiblement (< 1%)
tantôt fortement avec, dans le pire cas, une dégradation de la performance de près de 50% !";Quelle importance du choix de la loi de gestion pour dimensionner un système de stockage d'énergie ?;Haessig Pierre  (1) (2), Multon Bernard  (1), Ben Ahmed Hamid  (1), Lascaud Stéphane  (2);1 - Laboratoire SATIE (France), 2 - EDF R&D (France);http://sge2014.sciencesconf.org/43366/document
Dispositifs EM et actionneurs spéciaux;oral;SO-J1-B;28847;1;Les nouvelles machines synchrones avec contrôle du niveau de magnétisation des aimants, en fonctionnement, par de brèves impulsions de courant, permettent d'envisager une amélioration de l'efficacité énergétique et un élargissement de la plage de fonctionnement couple-vitesse. Les propriétés particulières de ces machines apportent des perspectives intéressantes pour différentes topologies de moteurs et de générateurs.;Moteur synchrone avec contrôle de la magnétisation des aimants en fonctionnement;Besson Christophe  (1), Savary Alain (1), Jaccard Matthieu (1);1 - Haute Ecole Spécialisée de Suisse Occidentale (Suisse);http://sge2014.sciencesconf.org/28847/document
Dispositifs EM et actionneurs spéciaux;oral;SO-J1-B;29930;2;Cet article présente les résultats d'une optimisation de la géométrie des Machines à Commutation de Flux à Aimants Permanents (MCF-AP) basée sur des critères multi-physiques magnéto-acoustiques en utilisant un modèle entièrement analytique visant à prédire le fonctionnement magnétique, mécanique et acoustique de ces structures. L'optimisation est réalisée sur une structure triphasée 12/10 et sur une structure pentaphasée 20/18 pour une alimentation et une vitesse donnés. Le modèle analytique, présenté et validé expérimentalement, permet un gain de temps non négligeable dans la prédiction des phénomènes magnéto-acoustiques en comparaison d'un modèle éléments finis et permet naturellement son implémentation dans un algorithme d'optimisation.;Optimisation Géométrique d'une Machine à Commutation de Flux à Aimants Permanents en utilisant un Modèle Analytique Magnéto-Acoustique;Boisson Julien (1), Louf François (2), Javier Ojeda (1), Xavier Mininger (3), Gabsi Mohamed (1);1 - Laboratoire SATIE (France), 2 - Laboratoire de Mécanique et Technologie LMT (France), 3 - Laboratoire LGEP (France);http://sge2014.sciencesconf.org/29930/document
Dispositifs EM et actionneurs spéciaux;oral;SO-J1-B;30054;3;Cet article traite de l'obtention des vibrations et du bruit d'origine électromagnétique des machines synchrones à aimants permanents (MSAP). L'étude concerne deux types de configurations de nombre d'encoches et de pôles avec d'un côté 8 pôles avec 48 et 72 encoches et de l'autre 48 encoches avec 46 et 50 pôles. Plus précisément, les recherches portent sur l'influence des combinaisons nombre de pôles / nombre d'encoches différents dans les MSAP de courte longueur. Les forces électromagnétiques agissant sur la surface interne du stator sont calculées à partir du tenseur de Maxwell au moyen de simulations par éléments finis (EF) 2-D. La densité de force magnétique locale sert alors de condition aux limites aux simulations vibratoires par EF 3-D du stator complet avec carcasse. Finalement, les déplacements obtenus permettent aux auteurs de réaliser des simulations acoustiques en utilisant un modèle par EF 3-D dédié à cette analyse. Les spectres vibro-acoustiques obtenus permettent aux concepteurs de machines électriques de faire un choix sur les combinaisons nombre de pôles / nombre d'encoches différents par rapport au cahier des charges dans les premières étapes de conception.;Vibrations et bruit d'origine électromagnétique dans les machines synchrones à aimants permanents ayant des combinaisons nombre de pôles / nombre d'encoches différents;Verez Guillaume  (1) (2), Barakat Georges  (2), Hoblos Ghaleb  (1), Bennouna Ouadie  (1), Amara Yacine  (2);1 - Institut de Recherche en Systèmes Electroniques Embarqués (France), 2 - Laboratoire GREAH (France);http://sge2014.sciencesconf.org/30054/document
Dispositifs EM et actionneurs spéciaux;oral;SO-J1-B;30077;4;Les systèmes de propulsion automobile ou navale nécessitent des entraînements électromécaniques compacts. Lorsque le diamètre alloué à la machine est faible, la mise en ?uvre d'une solution à grand nombre de pôles est difficile, ce qui interdit l'entraînement direct. Concevoir une machine intrinsèquement apte à fonctionner tant en basse vitesse qu'à haute vitesse permettrait de supprimer le réducteur mécanique généralement mis en ?uvre. Dans le cadre de cette problématique, cet article analyse les propriétés d'une machine synchrone pentaphasée à aimants déposées équipée d'un bobinage concentré générant à la fois p paires et 3p paires de pôles. Conçue pour être pilotée en commutation électronique de pôles, cette machine à cinq phases, équivalente à un ensemble de deux machines diphasées équivalentes (de type machine dq), présente la particularité suivante : les deux machines diphasées décrivant son comportement électromagnétique ont la même constante de temps et tout particulièrement des amplitudes comparables de la force électromotrice.;Paramètres clés pour la conception d'une machine pentaphasée à aimants à double polarité;Zahr Hussein  (1) (2), Scuiller Franck  (2), Semail Eric  (1);1 - Laboratoire L2EP (France), 2 - Institut de Recherche de l'Ecole Navale (France);http://sge2014.sciencesconf.org/30077/document
Dispositifs EM et actionneurs spéciaux;oral;SO-J1-B;30110;5; Les méthodes de récupération d'énergie reçoivent actuellement une attention très significative de la part de la communauté de la recherche. En particulier, dans le cas des dispositifs médicaux implantables où le transfert d'énergie sans fil est devenu la méthode principale dans ce genre d'applications. En effet, Cette méthode de transfert d'énergie écarte tout risque d'infection au niveau de la peau, ainsi que la nécessité de chirurgie invasive pour un changement de pile. Cet article veut faire le point sur ce principe de transfert d'énergie par lien inductif. Un modèle analytique original de calcul des paramètres électriques du circuit équivalent aux bobines utilisées a été développé. Par ailleurs, une nouvelle structure composée de trois bobines visant à améliorer le rendement énergétique du lien inductif a été étudiée. Les résultats obtenus sont bien meilleurs que ceux obtenus par l'usage de deux bobines. ;Transmission d'énergie par couplage inductif. Application aux capteurs biomédicaux intégrés;Bettaieb Laroussi  (1), Costa François (1), Lourme Jean-Christophe (2);1 - Laboratoire SATIE (France), 2 - ValoTec (France);http://sge2014.sciencesconf.org/30110/document
Dispositifs EM et actionneurs spéciaux;oral;SO-J1-B;30499;6;Cet article traite du dimensionnement d'un actionneur électrique tubulaire, de type MMA (Moving Magnet Actuator), développant un effort important à basse vitesse pour une fonction de vérin électrique. Un modèle analytique permettant de calculer les efforts développés par la machine, a été réalisé en fonction de la puissance électrique disponible. Des simulations par éléments finis en régime quasi-statique permettent de valider ce modèle. Nous intégrons dans la conception, des contraintes fortes liées à l'absence d'ondulations des efforts. ;Approche globale de l'étude des efforts développés par un actionneur MMA tubulaire;Allias Jean-Francois  (1), Llibre Jean-François (1), Harribey Dominique (1), Henaux Carole (1), Alazard Daniel (1);1 - Laboratoire LAPLACE (France);http://sge2014.sciencesconf.org/30499/document
GE et bio-santé;oral;SS-J2am;10020;1;"Le développement des futures générations de microsystèmes et d’implants pour la réhabilitation nécessite la combinaison d'expertises entre la neuro-ingénierie et la recherche biomédicale. Ces nouveaux systèmes de réhabilitation nécessitent de nombreux capteurs pour contrôler les stimuli utiles à la réhabilitation (stimulation des muscles ou matière neuronales, délivrer des médicaments ou drogues, etc ...). L'analyse des données d'entrée doit fournir un contrôle dans un délai raisonnable, en utilisant un minimum de ressources énergétiques. Les futures générations de microsystèmes et des implants pour la réhabilitation devraient également fournir un contrôle adaptatif; par conséquent, le contrôleur exige des capacités d'apprentissage. 
Les capteurs d'entrée peuvent être nombreuses et diverses natures. Leurs relations peuvent être difficiles à identifier, surtout si ce système est développé dans le cadre de la recherche biomédicale. Les réseaux de neurones artificiels (ANN) sont connus pour être efficace pour la résolution de ces questions. La plupart des applications existantes utilisant les ANNs dans un contexte commercial sont souvent développés sous forme de logiciels. Certains sont développés dans la recherche pour la réhabilitation. Les réseaux de neurones artificiels à spike (ou pulsés, dit SNN) sont une classe d’ANN qui inclue les événements temporels entre les neurones du réseau. Les SNN ont attiré l'attention dans de nombreux domaines de la bio-détection (par exemple des applications de traitement d'image ou la détection des odeurs). Utilisant les événements temporels, les SNN ont la capacité d'améliorer leur algorithme d'apprentissage dans le temps. Cette caractéristique unique est explorée et exploitée dans la neuro-ingénierie pour le développement des futures générations de microsystèmes et d’implants pour la réhabilitation.
";Utilisation des réseaux de neurones artificiels à spike dans la recherche de neuro-ingénierie;ZBRZESKI Adeline (1), RENAUD Sylvie (1);1 - EliBIO, Laboratoire IMS, IPB CNRS UMR 5218 Université de Bordeaux;ppt
GE et bio-santé;oral;SS-J2am;10021;2;"Le développement de nouvelles méthodes permettant le positionnement et la croissance guidée de cellules vivantes représente un défi majeur dans les domaines de l’ingénierie tissulaire et du criblage de médicaments. L’immobilisation de cellules en des zones bien définies à l’intérieur d’un dispositif microfluidique permet l’étude de leur morphologie, de leur différenciation ainsi que de leurs interactions, et offre la possibilité de reproduire un microenvironnement cellulaire mimant celui existant in vivo. 
L’une des approches explorées à l’heure actuelle pour créer de nouveaux matériaux artificiels imitant la structure des tissus naturels consiste à fabriquer des tissus à partir de l’assemblage dirigé de cellules ou d’agrégats cellulaires. Cette méthodologie de type « bottom-up » permet un meilleur contrôle de leur architecture, par rapport aux approches « top-down », basées sur l’emploi de moules en polymères guidant la croissance cellulaire. Une solution pour diriger les cellules vers les zones d’intérêt et permettre leur assemblage consiste à recourir à l’emploi de forces extérieures, telles que la force de diélectrophorèse, qui présente l’avantage majeur de ne nécessiter aucun marquage des cellules. 
Dans cet exposé, nous décrirons les dispositifs récemment développés au sein de l’équipe « bioélectromagnétisme et microsystèmes » du laboratoire Ampère reposant sur l’emploi de la diélectrophorèse pour la formation d’agrégats de cellules en vue de leur croissance guidée sur des surfaces fonctionnalisées. A terme, nous souhaitons être en mesure de déterminer les caractéristiques électriques de ces agrégats, ce qui nous permettrait d’établir un lien entre les phénomènes mis en jeu au niveau cellulaire et ceux à des niveaux de hiérarchisation supérieurs, comme les tissus, ou encore au-delà, l’individu.
";Emploi de la diélectrophorèse pour l’ingénierie tissulaire et la formation d’agrégats de cellules par une approche bottom-up ;Frenea-Robin M. (1), Menad S. (1), Franqueville L. (1), Haddour N. (1), El-Gaddar A. (1), Krahenbuhl L. (1), Voyer D. (1), Buret F. (1), Scorretti R (1);1 - Laboratoire AMPERE (France);ppt
